,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Error
208,The Love Flower,1920,Not Rated,22 Aug 1920,95 min,Drama,D.W. Griffith,"D.W. Griffith, Ralph Stock (story ""The Black Beach"")","Carol Dempster, Richard Barthelmess, George MacQuarrie, Anders Randolf","A man murders his wife's lovers, escapes with his daughter to the South Pacific. A detective pursues him, joined by a young man who eventually falls in love with the daughter.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTk4MjU1MTY4M15BMl5BanBnXkFtZTgwOTYzNjQ5NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,118,tt0011415,movie,N/A,N/A,N/A,N/A,True,
209,The Mark of Zorro,1920,Passed,05 Dec 1920,79 min,"Adventure, Romance, Western",Fred Niblo,"Johnston McCulley (based on the story by: ""The Curse of Capistrano"" published in ""All-Story Weekly"")","Marguerite De La Motte, Robert McKim, Noah Beery, Charles Hill Mailes","A seemingly idiotic fop is really the courageous vigilante Zorro, who seeks to protect the oppressed.",None,USA,1 win.,https://m.media-amazon.com/images/M/MV5BNTliMzlmYmUtYWRmYi00YzJjLWEwZDctZjgxMjFmMmE4ZjRiXkEyXkFqcGdeQXVyMDMxMjQwMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}]",N/A,7.1,"2,262",tt0011439,movie,02 Apr 2017,N/A,Douglas Fairbanks Pictures,N/A,True,
210,Markens grøde,1921,N/A,28 Sep 1929,75 min,Drama,Gunnar Sommerfeldt,"Knut Hamsun (novel), Gunnar Sommerfeldt","Amund Rydland, Karen Poulsen, Ragna Wettergreen, Gunnar Sommerfeldt","After the Nobel prize winning Knut Hamsun-novel, with it's criticism of industrialization, urbanizing and loss of values. The farmer Isak makes a farm out of barren soil, together with Inger and their two sons. She kills the third.",None,Norway,N/A,https://m.media-amazon.com/images/M/MV5BNWE4MDJhMjEtMmFiMC00ZDYzLTkzN2QtNzQzMmEyMTkwNmRjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTU5MDUxNjQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,210,tt0011440,movie,N/A,N/A,N/A,N/A,True,
211,The Mollycoddle,1920,Not Rated,13 Jun 1920,86 min,"Adventure, Comedy, Romance",Victor Fleming,"Thomas J. Geraghty (scenario editor), Harold McGrath (story)","Douglas Fairbanks, Ruth Renick, Wallace Beery, Paul Burns",An American who has lived much of his life outside the country returns to Arizona for the first time in years and encounters villainy.,"None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BZjM1YWM0MzEtYmMzNi00NzAzLTk1N2ItMWMxZGI3MWI4ZDc3XkEyXkFqcGdeQXVyNDY1NzU5NjY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,138,tt0011474,movie,N/A,N/A,N/A,N/A,True,
212,Nomads of the North,1920,N/A,26 Sep 1920,109 min,Drama,David Hartford,"James Oliver Curwood (novel), David Hartford","Lon Chaney, Lewis Stone, Melbourne MacDowell, Spottiswoode Aitken",A Canadian Mountie allows an innocent fugitive to escape with the women he loves.,None,USA,N/A,https://m.media-amazon.com/images/M/MV5BZDgwNjkwZTgtNGZkZC00ODgzLTg0NTktMzkxN2EyYWY4MjRlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}]",N/A,5.7,194,tt0011513,movie,11 Aug 2016,N/A,James Oliver Curwood Productions Inc.,N/A,True,
213,Pollyanna,1920,TV-G,18 Jan 1920,58 min,"Family, Comedy, Drama",Paul Powell,"Eleanor H. Porter (based on the book by), Catherine Chisholm Cushing (based on: the 4-act comedy by), Frances Marion (adaptation)","Mary Pickford, Wharton James, Katherine Griffith, Helen Jerome Eddy",An orphan's optimistic outlook brings a change to the ill-tempered town in which she resides to her aunt.,"None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BNGFiYzZlYjUtMGU5NC00MmI4LWIzZDUtOWU0MjZjMTUyZjY4XkEyXkFqcGdeQXVyNDY1NzU5NjY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}]",N/A,6.4,376,tt0011588,movie,16 Mar 2016,N/A,Mary Pickford Company,N/A,True,
214,The Parson's Widow,1920,TV-14,04 Oct 1920,94 min,"Comedy, Drama, Horror",Carl Theodor Dreyer,"Carl Theodor Dreyer (screen adaptation), Kristofer Janson (after a story by)","Hildur Carlberg, Einar Röd, Greta Almroth, Olav Aukrust","A young man is elected by a small village to be its parson. As part of his duties, he is required to marry the widow of the parson before him. This poses two problems--first, the widow is ...","None, Swedish, Danish",Sweden,N/A,https://m.media-amazon.com/images/M/MV5BYjE0YzQ5ZGEtZGMxNy00NjQzLTg5OGQtZGU3ODMzNGY5MGJjXkEyXkFqcGdeQXVyNDEzMTI3MTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}]",N/A,7.1,"1,090",tt0011607,movie,N/A,N/A,N/A,N/A,True,
215,The Restless Sex,1920,N/A,12 Sep 1920,85 min,Drama,"Leon D'Usseau, Robert Z. Leonard","Robert W. Chambers (novel), Frances Marion","Marion Davies, Ralph Kellard, Carlyle Blackwell, Charles Lane","A young woman is torn between two men, her childhood sweetheart and a handsome art student.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BOTE5ZDQ2YjAtMTIzZi00Y2M0LTgyMGMtNWJlN2M5YjA3NDg1L2ltYWdlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",N/A,5.7,114,tt0011623,movie,N/A,N/A,N/A,N/A,True,
216,Romeo and Juliet in the Snow,1920,N/A,12 Mar 1920,45 min,Comedy,Ernst Lubitsch,"Hanns Kräly (screenplay), Hanns Kräly (story), Ernst Lubitsch (screenplay), Ernst Lubitsch (story)","Lotte Neumann, Gustav von Wangenheim, Jakob Tiedtke, Marga Köhler","Comical variation on the Shakespeare play, featuring two feuding farmers families.","None, German",Germany,N/A,https://m.media-amazon.com/images/M/MV5BYTdkNzA3NWItNDliMC00MzU4LWI2NDQtMTJlZjc4ZWM1ZTNkXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,160,tt0011641,movie,N/A,N/A,N/A,N/A,True,
217,The Round-Up,1920,N/A,10 Oct 1920,70 min,"Comedy, Western",George Melford,"Edmund Day (play), Tom Forman (scenario)","Roscoe 'Fatty' Arbuckle, Mabel Julienne Scott, Irving Cummings, Tom Forman",An overweight sheriff does his best to assist a man accused of theft.,"None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BYTUyNDRiMjgtMjgxOC00MmFhLTljNzktMWU0M2FlNDAwNmEwXkEyXkFqcGdeQXVyMjYzMDY1NTg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",N/A,5.7,128,tt0011647,movie,N/A,N/A,N/A,N/A,True,
218,The Saphead,1920,Not Rated,20 Sep 1920,77 min,Comedy,"Herbert Blaché, Winchell Smith","Bronson Howard (original play ""The Henrietta""), Victor Mapes (play), June Mathis (scenario), Winchell Smith (play)","Edward Jobson, Beulah Booker, Edward Connelly, Edward Alexander",The simple-minded son of a rich financier must find his own way in the world.,None,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BZDNiODA3NzQtNTBmZS00NTM3LWJlOGMtMDg2NzFiNDU2M2M3XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}]",N/A,6.1,"1,458",tt0011652,movie,03 Mar 2016,N/A,Metro Pictures Corporation,N/A,True,
219,Sex,1920,Not Rated,14 Sep 1920,87 min,Drama,Fred Niblo,C. Gardner Sullivan,"Louise Glaum, Irving Cummings, Peggy Pearce, Myrtle Stedman",A broadway actress uses her sex appeal to ruin a marriage only to dump her lover for a richer prospect.,None,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjMyNDk1MDg0MF5BMl5BanBnXkFtZTgwODA1NDIwMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}]",N/A,6.0,275,tt0011679,movie,16 Jul 2016,N/A,J. Parker Read Jr. Productions,N/A,True,
220,Something to Think About,1920,N/A,17 Oct 1920,78 min,Drama,Cecil B. DeMille,Jeanie Macpherson (story),"Elliott Dexter, Gloria Swanson, Monte Blue, Theodore Roberts","Wealthy cripple Markley finances the education of blacksmith's daughter Ruth. When she returns to their small town he asks to marry her, but she runs off with city worker Jim Dirk who is ...",N/A,USA,N/A,https://m.media-amazon.com/images/M/MV5BNmU4ODRlZmItZmRhMS00NmU5LWEwNDktZWZjNjA1NGI4ODc1XkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",N/A,5.3,564,tt0011716,movie,N/A,N/A,N/A,N/A,True,
221,The Spiders - Episode 2: The Diamond Ship,1920,N/A,08 Nov 1979,104 min,Adventure,Fritz Lang,Fritz Lang,"Carl de Vogt, Ressel Orla, Georg John, Rudolf Lettinger","Kay Hoog wants to stop the organisation ""Die Spinnen"" to get a certain diamond, that will give the owning woman the crown of Asia, but the man, who should be the owner of that diamond, ...",None,Germany,1 nomination.,https://m.media-amazon.com/images/M/MV5BMTY1NjAyMzkxNF5BMl5BanBnXkFtZTgwODk2NDk0MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}]",N/A,6.4,799,tt0011723,movie,N/A,N/A,N/A,N/A,True,
222,Suds,1920,N/A,27 Jan 1920,75 min,"Comedy, Drama, Romance",John Francis Dillon,"Waldemar Young (scenario), Richard Bryce (play), Frederick Fenn (play)","Mary Pickford, Albert Austin, Harold Goodwin, Rose Dione","A London laundress attempts to rise above her station in order to capture the love of a wealthy young man, thus missing out on the truer love of one of her own class.","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BNGMwN2RiMDktNTQ4OC00Y2VkLThiNjYtOTFmYzI0YWIwNTY5XkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}]",N/A,6.3,217,tt0011741,movie,N/A,N/A,N/A,N/A,True,
223,Sumurun,1920,Not Rated,25 Sep 1921,85 min,"Adventure, Drama, Romance",Ernst Lubitsch,"Friedrich Freksa (pantomime), Hanns Kräly (scenario), Ernst Lubitsch (scenario), Richard Rieß (book)","Ernst Lubitsch, Pola Negri, Paul Wegener, Jenny Hasselqvist","The favorite slave girl of a tyrannical sheik falls in love with a cloth merchant. Meanwhile, a hunchback clown suffers unrequited love for a traveling dancer who wants to join the harem.","None, German",Germany,N/A,https://m.media-amazon.com/images/M/MV5BMTAyNjE2Nzg3NTZeQTJeQWpwZ15BbWU4MDI4NTcxNDIx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}]",N/A,6.1,650,tt0011742,movie,23 May 2017,N/A,N/A,N/A,True,
224,Terror Island,1920,Not Rated,01 Apr 1920,55 min,Mystery,James Cruze,"Arthur B. Reeve (by), John Grey (by), Walter Woods (adapted for the screen by)","Harry Houdini, Jack Brammall, Lila Lee, Wilton Taylor","An inventor travels to the South Seas, where there is buried treasure belonging to a girl. The girl's father is being held captive by cannibals until she returns a pearl that belongs to one of their idols.","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BMzc2NjgwMTg3N15BMl5BanBnXkFtZTgwOTI4MzkwMDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}]",N/A,5.5,170,tt0011753,movie,17 Apr 2020,N/A,N/A,N/A,True,
225,The Toll Gate,1920,Passed,15 Apr 1920,73 min,"Adventure, Drama, Western",Lambert Hillyer,Lambert Hillyer,"William S. Hart, Anna Q. Nilsson, Joseph Singleton, Jack Richardson","After being betrayed to the law by one of his henchmen, a bandit leader seeks to avenge himself.","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BMjI2MTU0ODgxOF5BMl5BanBnXkFtZTgwMTE4NDcwMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,200,tt0011779,movie,20 Apr 1999,N/A,Paramount Pictures,N/A,True,
226,From Morn to Midnight,1920,N/A,N/A,65 min,"Drama, Thriller",Karl Heinz Martin,"Herbert Juttke, Georg Kaiser (play), Karl Heinz Martin","Ernst Deutsch, Erna Morena, Roma Bahn, Adolf E. Licho","A Cashier in a bank in a small German town is alerted to the power of money by the visit of a rich Italian lady. He embezzles 60, 000 Marks and leaves for the capital city, where he ...","None, German",Germany,N/A,https://m.media-amazon.com/images/M/MV5BNmFjNjE0M2MtNjQ0Yi00ZjZjLWI5M2QtYWM0ZTg4YWRiMmUyXkEyXkFqcGdeQXVyNTQwODUwMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,454,tt0011833,movie,N/A,N/A,N/A,N/A,True,
227,The Wandering Image,1920,Not Rated,26 Sep 1921,67 min,Romance,Fritz Lang,"Fritz Lang, Thea von Harbou","Mia May, Hans Marr, Rudolf Klein-Rogge, Loni Nest","Mia May has surrendered herself to a disciple of free love, and, having given birth to a child, marries the twin brother and Doppelgänger of her chosen lover.",None,Germany,N/A,https://m.media-amazon.com/images/M/MV5BYWJmZDc1ZTUtZTllZC00YmE4LWJmNDUtOTk3MTkyMDgyYmE0XkEyXkFqcGdeQXVyMjc0MjUzMzU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,381,tt0011837,movie,N/A,N/A,N/A,N/A,True,
228,Way Down East,1920,Passed,03 Sep 1920,145 min,"Drama, Romance",D.W. Griffith,"Lottie Blair Parker (from the play by), William A. Brady (play), Joseph R. Grismer (elaborated by), Anthony Paul Kelly (scenario by)","Lillian Gish, Richard Barthelmess, Mrs. David Landau, Lowell Sherman","A naive country girl is tricked into a sham marriage by a wealthy womanizer, then must rebuild her life despite the taint of having borne a child out of wedlock.",None,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjI5OTI3NTQ4NV5BMl5BanBnXkFtZTgwNDY3NTAwMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}]",N/A,7.4,"5,114",tt0011841,movie,11 Aug 2016,N/A,D.W. Griffith Productions,N/A,True,
229,Why Change Your Wife?,1920,Approved,11 Apr 1921,90 min,"Comedy, Drama",Cecil B. DeMille,"Olga Printzlau (scenario), William C. de Mille (story), Sada Cowan (scenario)","Thomas Meighan, Gloria Swanson, Bebe Daniels, Theodore Kosloff","Robert and Beth Gordon are married but share little. He runs into Sally at a cabaret and the Gordons are soon divorced. Just as he gets bored with Sally's superficiality, Beth strives to ...","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BNzU5ZTdlYzYtYWM3Yy00MzU1LWE4YzItZmQ0ZDZmZGNmYTBkXkEyXkFqcGdeQXVyMjcxNjI4NTk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}]",N/A,6.7,"1,343",tt0011865,movie,06 Dec 2005,N/A,Artcraft Pictures Corporation,N/A,True,
230,Within Our Gates,1920,Not Rated,12 Jan 1920,79 min,"Drama, Romance",Oscar Micheaux,Oscar Micheaux,"Evelyn Preer, Flo Clements, James D. Ruffin, Jack Chenault","Abandoned by her fiancé, an educated black woman with a shocking past dedicates herself to helping a near bankrupt school for impoverished black youths.",None,USA,2 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BYjcxMWFjNTgtNzAwOC00OTIwLWE1ZTAtOTI3YjI2YWZhODQxXkEyXkFqcGdeQXVyMDY4MzkyNw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,6.3,"2,705",tt0011870,movie,N/A,N/A,Micheaux Book &amp; Film Company,N/A,True,
231,The Ace of Hearts,1921,Passed,14 Apr 1923,75 min,"Crime, Drama, Mystery, Romance, Thriller",Wallace Worsley,"Gouverneur Morris (by), Ruth Wightman (scenario)","Lon Chaney, Leatrice Joy, John Bowers, Hardee Kirkland",A romantic rivalry among members of a secret society becomes even tenser when one of the men is assigned to carry out an assassination.,None,USA,1 win & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMTkwOTUyNDk1N15BMl5BanBnXkFtZTYwODI3MzI3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}]",N/A,6.8,"1,093",tt0011904,movie,N/A,N/A,Goldwyn Pictures Corporation,N/A,True,
232,Adventures of Tarzan,1921,Passed,01 Dec 1921,73 min,"Action, Adventure","Robert F. Hill, Scott Sidney","Edgar Rice Burroughs (novel), Robert F. Hill (scenario), Lillian Valentine (scenario), Bert Ennis (intertitles)","Elmo Lincoln, Louise Lorraine, Scott Pembroke, Frank Whitson","When Jane is abducted by Arab slave traders, Tarzan comes to her rescue, only to see her kidnapped again by Queen La of Opar. To save Jane, Tarzan must battle both the queen's minions and William Clayton, who seeks Tarzan's family title.","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BMjAxNjA0MDczMV5BMl5BanBnXkFtZTgwNjM2ODAyMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",N/A,5.9,106,tt0011908,movie,N/A,N/A,N/A,N/A,True,
233,The Affairs of Anatole,1921,Unrated,25 Sep 1921,117 min,"Comedy, Drama",Cecil B. DeMille,"Arthur Schnitzler (suggested by play of the same name), Jeanie Macpherson (by)","Wallace Reid, Gloria Swanson, Wanda Hawley, Theodore Roberts",Socialite Anatol Spencer seeks a better relation than he has with his wife. He sets up the friend of his youth Emilie in an apartment only to have her two-time him. He comforts the near suicidal Annie only to have her rob him.,None,USA,N/A,https://m.media-amazon.com/images/M/MV5BZGRjMmVkMGUtOWI2Mi00MWQ1LWI2ZDEtYWU4MDZkZTQ2MmJiXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}]",N/A,6.6,"1,216",tt0011909,movie,01 Sep 2016,N/A,Paramount,N/A,True,
234,Be My Wife,1921,Not Rated,06 Nov 1921,55 min,Comedy,Max Linder,Max Linder,"Max Linder, Alta Allen, Caroline Rankin, Lincoln Stedman","Max is determined to woo Mary, despite her Aunt Agatha's disapproval.","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BNjEzMDNjOGEtNmNkNy00ODg1LTg4MDktZDYwNTQyZWZiMGViXkEyXkFqcGdeQXVyMTA2MTU3NDk1._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,376,tt0011948,movie,N/A,N/A,N/A,N/A,True,
235,The Wildcat,1921,Not Rated,30 Nov 1921,79 min,"Comedy, Drama, Romance",Ernst Lubitsch,"Hanns Kräly, Ernst Lubitsch","Pola Negri, Victor Janson, Paul Heidemann, Wilhelm Diegelmann","A charismatic lieutenant newly assigned to a remote fort is captured by a group of mountain bandits, thus setting in motion a madcap farce that is Lubitsch at his most unrestrained.",None,Germany,N/A,https://m.media-amazon.com/images/M/MV5BMTI3NWZhYjYtZjRhZS00ZmZhLTk5YzgtYTI3YTM2MTA3YjU2XkEyXkFqcGdeQXVyMjcxNjI4NTk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}]",N/A,6.9,"1,056",tt0011960,movie,24 Jan 2020,N/A,Projektion-AG Union (PAGU) [de],N/A,True,
236,The Blot,1921,Passed,04 Sep 1921,91 min,"Drama, Romance",Lois Weber,"Lois Weber (story), Marion Orth (scenario)","Philip Hubbard, Margaret McWade, Claire Windsor, Louis Calhern",The Professor dispenses the wisdom of the ages and does not make a living wage. The sons of the rich and powerful are students lacking any motivation. The next door neighbor of the ...,"None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BMjI0Nzg0NTM1N15BMl5BanBnXkFtZTgwNzM5NzgwMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,6.8,517,tt0011979,movie,N/A,N/A,Lois Weber Productions,N/A,True,
237,Buried Treasure,1921,Passed,10 Apr 1921,70 min,"Adventure, Fantasy, Romance",George D. Baker,"F. Britten Austin (short story), George D. Baker (adaptation)","Marion Davies, Norman Kerry, Anders Randolf, Edith Shayne","Strung around the idea of reincarnation, this film goes back in time to the days of the Spanish galleons and pirates burying their treasure; treasure to be found centuries later.","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BMjAxODczODIyMV5BMl5BanBnXkFtZTgwNDA5OTcwMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,167,tt0012016,movie,N/A,N/A,N/A,N/A,True,
238,Camille,1921,Passed,26 Sep 1921,72 min,"Drama, Romance",Ray C. Smallwood,"Alexandre Dumas fils (by), June Mathis (written for the screen by)","Rudolph Valentino, Rex Cherryman, Arthur Hoyt, Zeffie Tilbury","A courtesan and an idealistic young man fall in love, only for her to give up the relationship at his status-conscious father's request.","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BOWFiOGEyZjctZDMxMy00NzJmLWIxZGUtZTE1ODVjYmY0YTdkXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}]",N/A,6.6,881,tt0012027,movie,28 Jun 2011,N/A,Nazimova Productions,N/A,True,
239,The Conquering Power,1921,TV-G,08 Jul 1921,89 min,"Drama, Romance",Rex Ingram,"June Mathis, Honoré de Balzac (story ""Eugénie Grandet"")","Alice Terry, Rudolph Valentino, Ralph Lewis, Carrie Daumery","After losing his father, a playboy moves in with his miserly uncle, who seeks to cheat him out of his inheritance.",None,USA,N/A,https://m.media-amazon.com/images/M/MV5BZDE2NjhkOTktZWI1OC00MWYwLWE1OGQtNjlmMWY3YmQ5NWI3XkEyXkFqcGdeQXVyNDY1NzU5NjY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}]",N/A,6.7,422,tt0012068,movie,18 Sep 2016,N/A,Metro Pictures Corporation,N/A,True,
